grade,lat,long
B,40.73365385,-73.99302879
B,40.70404841,-74.01158826
B,40.80034435,-73.91067007
C,40.70213514,-73.91577204
B,40.71405599,-73.99000799
C,40.71608996,-74.00874778
C,40.62489928,-74.03045817
C,40.66282149,-73.98495867
B,40.83758582,-73.8662478
B,40.73599801,-73.99578176
C,40.74742062,-73.94154083
C,40.6925144,-73.92734885
C,40.68944526,-73.9686324
B,40.73523488,-74.00606207
C,40.65357404,-73.83850377
B,40.68826573,-73.9862474
C,40.71727827,-73.83510937
C,40.75224869,-73.983852
B,40.64099044,-74.00384828
B,40.83755869,-73.86651529
B,40.71377132,-73.95746742
B,40.71562638,-73.99645402
B,40.64507803,-74.02240283
B,40.72131919,-73.8454027
C,40.75874744,-73.97869222
C,40.61495335,-73.99440633
B,40.59192144,-74.08754499
C,40.87912216,-73.90518289
B,40.74600801,-73.89627488
B,40.71442942,-73.99178631
B,40.75948882,-73.96812642
C,40.74210244,-74.00079753
C,40.75289347,-73.83257735
C,40.81260598,-73.94193854
B,40.62412516,-74.03077482
B,40.76115094,-73.80388755
C,40.76860163,-73.91113159
C,40.75014536,-73.88037355
B,40.79705678,-73.97001536
C,40.8384707,-73.91310149
C,40.72734527,-73.98260249
C,40.72372709,-73.95179688
B,40.82248525,-73.93846129
C,40.76243113,-73.81447149
B,40.70747167,-73.78856538
C,40.76362006,-73.98269406
B,40.74730839,-73.98590313
B,40.7859667,-73.97625319
B,40.77595236,-73.91511506
C,40.63778846,-73.96837934
C,40.75000977,-73.99134519
C,40.60499342,-73.97870547
B,40.76203509,-73.97582857
B,40.78627195,-73.8359923
C,40.75784728,-73.78456423
B,40.72260062,-74.00783229
B,40.61263081,-74.01157233
C,40.65240161,-73.92639082
C,40.73596171,-73.98733447
C,40.7642443,-73.99467893
C,40.60197688,-73.75344016
B,40.76043362,-73.8327713
C,40.76860163,-73.91113159
B,40.7461522,-73.89789869
C,40.71654372,-73.74313052
B,40.71188127,-73.9413088
B,40.74297406,-73.98327324
B,40.61431498,-73.92637535
B,40.72955376,-73.95755473
B,40.59470784,-73.9563085
B,40.71524196,-73.99307401
B,40.6866615,-73.82303042
B,40.63805881,-74.00773946
B,40.6959087,-73.74695001
C,40.81151197,-73.95019773
B,40.71482492,-73.99695908
B,40.65063331,-73.94473963
B,40.79228956,-73.97163906
B,40.74124278,-73.91984715
C,40.61695625,-73.98541568
C,40.72091009,-73.99782462
C,40.83608702,-73.85479848
B,40.75370737,-73.82258091
B,40.85000454,-73.92983654
B,40.65579706,-73.95989402
C,40.64167086,-73.96342656
B,40.7478597,-73.76130731
B,40.68769244,-73.98979561
C,40.75977791,-73.82923543
B,40.7385686,-73.98251655
C,40.71430329,-73.99380998
B,40.75465439,-73.91697589
C,40.70715851,-74.00835346
C,40.75625757,-73.97676554
